"last_name, first_name",player_id,year,home_run,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Kiermaier, Kevin",595281,2015,10,0.268,0.378,0.302,0.304,0.109,0.348,0.331,87.6,9,29.7,2.4,4.1,30.9
"Betts, Mookie",605141,2015,18,0.283,0.445,0.341,0.336,0.162,0.364,0.327,90.4,15.4,33.4,5.5,4.2,37.5
"Peterson, Jace",607054,2015,6,0.241,0.353,0.3,0.318,0.113,0.337,0.313,87.1,9.8,33,3.3,4.1,26.3
"Pillar, Kevin",607680,2015,12,0.259,0.354,0.29,0.299,0.095,0.314,0.304,85.8,14.1,28.4,1.8,3.5,26.5
"Russell, Addison",608365,2015,13,0.204,0.331,0.269,0.273,0.126,0.337,0.297,86.7,15.1,34.3,5.2,5.8,29.2
"Duffy, Matt",622110,2015,12,0.281,0.419,0.327,0.324,0.138,0.369,0.341,88,7.5,32.4,4,5.8,32
"Ortiz, David",120074,2016,38,0.312,0.641,0.43,0.403,0.329,0.474,0.371,93.2,16.9,39.3,15.5,8.1,47.2
"Beltre, Adrian",134181,2016,32,0.29,0.509,0.366,0.35,0.219,0.382,0.327,90.1,14.5,34.2,8.5,5.6,40.4
"Beltran, Carlos",136860,2016,29,0.268,0.434,0.32,0.314,0.165,0.365,0.328,90.1,12.6,32.5,6.8,4,38.5
"Werth, Jayson",150029,2016,21,0.247,0.422,0.337,0.343,0.174,0.389,0.338,91.4,15,31.9,7.4,6.4,44.6
"Martinez, Victor",400121,2016,27,0.286,0.506,0.364,0.349,0.221,0.401,0.341,90,15.5,37.8,8.4,7.9,42.1
"Utley, Chase",400284,2016,14,0.259,0.389,0.314,0.326,0.13,0.358,0.334,87.7,11.9,35.6,4.3,6,33.8
"Pujols, Albert",405395,2016,31,0.285,0.523,0.367,0.343,0.238,0.392,0.327,91.6,11.7,31.5,9.2,7.8,44.1
"Mauer, Joe",408045,2016,11,0.281,0.449,0.357,0.381,0.168,0.382,0.346,89.9,3.8,36.5,6,7.2,42.9
